Name,Player_Avg_Rating_Before_Injury,Team_Avg_GD_Before_Injury,Team_Avg_Result_Before_Injury,Team_Avg_GD_Missed,Team_Avg_Result_Missed,Player_Avg_Rating_After_Injury,Team_Avg_GD_After,Team_Avg_Result_After,Player_Rating_Delta,Team_Performance_Drop,Team_Rebound_Index
Ben Godfrey,5.73888888888889,-1.3333333333333333,0.3333333333333333,-0.055555555555555504,0.9444444444444445,6.333333333333333,-0.3333333333333333,0.8333333333333334,0.5944444444444432,-1.2777777777777777,-0.2777777777777778
Ben Mee,6.28,-0.7999999999999999,1.05,-0.9,0.6166666666666667,6.066666666666666,-1.2222222222222223,1.0000000000000002,-0.21333333333333382,0.10000000000000009,-0.3222222222222223
Ben White,6.416666666666667,1.1666666666666667,1.6666666666666667,1.25,3.0,6.166666666666667,0.0,2.0,-0.25,-0.08333333333333326,-1.25
Bernard,6.155555555555555,-0.3333333333333333,1.4444444444444444,-0.6666666666666666,1.1111111111111112,6.4444444444444455,0.05555555555555556,1.5555555555555554,0.2888888888888905,0.3333333333333333,0.7222222222222222
Bernd Leno,7.5,-1.0,1.0,2.6666666666666665,3.0,,,,,-3.6666666666666665,
Bertrand Traoré,5.4,-2.0,0.0,3.0,3.0,6.6000000000000005,-0.3333333333333333,1.0,1.2000000000000002,-5.0,-3.3333333333333335
Beto,5.933333333333334,-0.6666666666666666,1.0,-3.0,0.0,5.833333333333333,0.6666666666666666,2.0,-0.10000000000000053,2.3333333333333335,3.6666666666666665
Björn Engels,5.533333333333334,-1.0,1.0,0.3333333333333333,1.3333333333333333,5.5,-3.0,0.0,-0.0333333333333341,-1.3333333333333333,-3.3333333333333335
Boubacar Kamara,6.566666666666667,0.4444444444444445,1.2222222222222223,0.8888888888888888,2.0,6.15,-0.5,1.5,-0.41666666666666696,-0.44444444444444436,-1.3888888888888888
Brandon Williams,6.2,2.0,2.3333333333333335,2.0,3.0,5.85,1.0,2.0,-0.35000000000000053,0.0,-1.0
Bruno Fernandes,3.9333333333333336,-0.3333333333333333,1.3333333333333333,1.0,3.0,7.3999999999999995,0.0,1.3333333333333333,3.466666666666666,-1.3333333333333333,-1.0
Bruno Guimarães,6.6499999999999995,0.5,1.6666666666666667,-0.5,0.6666666666666666,7.2,1.1666666666666667,2.1666666666666665,0.5500000000000007,1.0,1.6666666666666667
Bryan Gil,6.855555555555557,0.11111111111111116,1.2222222222222223,0.7000000000000001,2.2333333333333334,6.033333333333332,0.6666666666666666,1.777777777777778,-0.8222222222222246,-0.5888888888888889,-0.03333333333333344
Bryan Mbeumo,6.533333333333334,0.0,1.0,-1.6666666666666667,0.0,6.133333333333333,-0.3333333333333333,0.6666666666666666,-0.40000000000000124,1.6666666666666667,1.3333333333333335
Bukayo Saka,7.188888888888889,1.888888888888889,2.111111111111111,1.0,2.3333333333333335,6.8999999999999995,0.7777777777777777,1.4444444444444444,-0.28888888888888964,0.8888888888888891,-0.22222222222222232
Callum Wilson,6.4412121212121205,0.7303030303030303,1.4787878787878788,0.07659932659932663,1.3324915824915824,6.315277777777777,0.6527777777777778,1.7824074074074074,-0.12593434343434318,0.6537037037037037,0.5761784511784511
Calum Chambers,7.066666666666666,-1.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,,,,,-2.0,
Cenk Tosun,5.35,-1.0,0.5,-0.16666666666666666,1.6666666666666667,6.116666666666667,-1.0,0.6666666666666666,0.7666666666666675,-0.8333333333333334,-0.8333333333333334
Charlie Taylor,6.446666666666666,0.3333333333333333,1.6666666666666667,-0.6944444444444445,1.111111111111111,6.3,-0.8666666666666667,0.8666666666666668,-0.1466666666666665,1.027777777777778,-0.17222222222222217
Chris Wood,6.135000000000001,-0.26666666666666666,1.45,0.17777777777777773,1.8444444444444443,6.152777777777779,0.11111111111111112,1.4222222222222223,0.017777777777777892,-0.4444444444444444,-0.06666666666666661
Christian Eriksen,6.0,0.0,1.3333333333333333,0.0,1.3333333333333333,6.3500000000000005,1.0,2.1666666666666665,0.35000000000000053,0.0,1.0
Christian Norgaard,6.716666666666666,-1.5,0.16666666666666666,0.0,1.1666666666666667,6.566666666666666,0.16666666666666666,1.1666666666666667,-0.14999999999999947,-1.5,0.16666666666666666
Christiano Ronaldo,7.0,0.8333333333333334,1.8333333333333333,-1.5,0.5,7.0,0.6666666666666666,2.1666666666666665,0.0,2.3333333333333335,2.1666666666666665
Ciaran Clark,6.216666666666666,-0.5833333333333334,1.0833333333333333,-0.5833333333333334,1.1944444444444444,6.344444444444444,-0.2222222222222222,1.111111111111111,0.1277777777777782,0.0,0.36111111111111116
